frame,SampleName,executeTime(ms),memoryAlloc(byte)
0,Main Thread,15.8208,0,
0,PlayerLoop,15.7853,0,
0,EarlyUpdate.GpuTimestamp,0.0002,0,
0,EarlyUpdate.AnalyticsCoreStatsUpdate,0.0006,0,
0,EarlyUpdate.UnityWebRequestUpdate,0.0005,0,
0,EarlyUpdate.ExecuteMainThreadJobs,0.0005,0,
0,EarlyUpdate.ProcessMouseInWindow,0.0002,0,
0,EarlyUpdate.ClearLines,0.0001,0,
0,EarlyUpdate.PresentBeforeUpdate,0.0002,0,
0,EarlyUpdate.ResetFrameStatsAfterPresent,0.0001,0,
0,EarlyUpdate.UpdateAsyncReadbackManager,0.0004,0,
0,EarlyUpdate.UpdateStreamingManager,0.0005,0,
0,EarlyUpdate.UpdateTextureStreamingManager,0.0003,0,
0,TextureStreamingManager.Update,0.0001,0,
0,EarlyUpdate.UpdatePreloading,0.0013,0,
0,Loading.UpdatePreloading,0.0011,0,
0,UpdatePreloading,0.0009,0,
0,Application.Integrate Assets in Background,0.0007,0,
0,Preload Single Step,0.0003,0,
0,suspendPointHook.Invoke,0.0001,0,
0,EarlyUpdate.RendererNotifyInvisible,0.0006,0,
0,EarlyUpdate.PlayerCleanupCachedData,0.0019,0,
0,Cleanup Unused Cached Data,0.0017,0,
0,PlayerCleanupCachedData,0.0017,0,
0,RenderTexture.GarbageCollectTemporary,0.0007,0,
0,CleanUp.TextRenderingGarbageCollect,0.0003,0,
0,EarlyUpdate.UpdateCanvasRectTransform,0.0001,0,
0,EarlyUpdate.XRUpdate,0.0005,0,
0,EarlyUpdate.UpdateInputManager,0.0032,0,
0,EarlyUpdate.ScriptRunDelayedStartupFrame,0.0012,0,
0,CoroutinesDelayedCalls,0.0005,0,
0,EarlyUpdate.DispatchEventQueueEvents,0.0006,0,
0,GlobalEventQueue,0.0004,0,
0,EarlyUpdate.DirectorSampleTime,0.0028,0,
0,Director.SampleTime,0.0025,0,
0,EarlyUpdate.PhysicsResetInterpolatedTransformPosition,0.001,0,
0,Physics.Interpolation,0.0009,0,
0,EarlyUpdate.SpriteAtlasManagerUpdate,0.0002,0,
0,EarlyUpdate.PerformanceAnalyticsUpdate,0.0002,0,
0,FixedUpdate.ClearLines,0.0001,0,
0,FixedUpdate.NewInputFixedUpdate,0.0005,0,
0,FixedUpdate.DirectorFixedSampleTime,0.0001,0,
0,FixedUpdate.AudioFixedUpdate,0.0012,0,
0,AudioManager.FixedUpdate,0.001,0,
0,FixedUpdate.ScriptRunBehaviourFixedUpdate,0.0012,0,
0,FixedBehaviourUpdate,0.001,0,
0,FixedUpdate.DirectorFixedUpdate,0.001,0,
0,Director.PrepareFrame,0.0002,0,
0,Director.ProcessFrame,0.0001,0,
0,FixedUpdate.LegacyFixedAnimationUpdate,0.0014,0,
0,FixedUpdate.XRFixedUpdate,0.0002,0,
0,FixedUpdate.PhysicsFixedUpdate,0.0034,0,
0,Physics.SyncRigidbodyTransform,0.0003,0,
0,Physics.SyncColliderTransform,0.0002,0,
0,FixedUpdate.Physics2DFixedUpdate,0.0012,0,
0,Physics2D.Simulate,0.0004,0,
0,FixedUpdate.DirectorFixedUpdatePostPhysics,0.0003,0,
0,Director.PrepareFrame,0,0,
0,Director.ProcessFrame,0.0001,0,
0,FixedUpdate.ScriptRunDelayedFixedFrameRate,0.0004,0,
0,CoroutinesDelayedCalls,0.0002,0,
0,PreUpdate.PhysicsUpdate,0.0002,0,
0,Physics.Interpolation,0.0002,0,
0,PreUpdate.Physics2DUpdate,0.0003,0,
0,Physics2D.InterpolatePoses,0,0,
0,PreUpdate.CheckTexFieldInput,0.0001,0,
0,PreUpdate.IMGUISendQueuedEvents,0.0003,0,
0,PreUpdate.NewInputUpdate,0.0001,0,
0,PreUpdate.SendMouseEvents,0.0083,0,
0,Monobehaviour.OnMouse_,0.0081,0,
0,SendMouseEvents.DoSendMouseEvents(),0.0069,0,
0,PreUpdate.AIUpdate,0.0013,0,
0,NavMesh.Internal_CallOnNavMeshPreUpdate(),0.0004,0,
0,PreUpdate.WindUpdate,0.0008,0,
0,PreUpdate.UpdateVideo,0.0005,0,
0,Update.ScriptRunBehaviourUpdate,0.0006,0,
0,BehaviourUpdate,0.0003,0,
0,Update.ScriptRunDelayedDynamicFrameRate,0.0002,0,
0,CoroutinesDelayedCalls,0.0001,0,
0,Update.ScriptRunDelayedTasks,0.0025,0,
0,UnitySynchronizationContext.ExecuteTasks(),0.0021,0,
0,Update.DirectorUpdate,0.0002,0,
0,Director.PrepareFrame,0,0,
0,Director.ProcessFrame,0.0001,0,
0,PreLateUpdate.AIUpdatePostScript,0.0002,0,
0,NavMeshManager,0.0001,0,
0,PreLateUpdate.DirectorUpdateAnimationBegin,0.0002,0,
0,Director.PrepareFrame,0,0,
0,Director.ProcessFrame,0.0001,0,
0,PreLateUpdate.LegacyAnimationUpdate,0.0001,0,
0,PreLateUpdate.DirectorUpdateAnimationEnd,0.0002,0,
0,Director.PrepareFrame,0,0,
0,Director.ProcessFrame,0.0001,0,
0,PreLateUpdate.DirectorDeferredEvaluate,0.0001,0,
0,PreLateUpdate.EndGraphicsJobsAfterScriptUpdate,0.0002,0,
0,PreLateUpdate.ParticleSystemBeginUpdateAll,0.0018,0,
0,ParticleSystem.Update,0.0017,0,
0,PrepareUpdateRendererBoundingVolumes,0.0002,0,
0,UpdateRendererBoundingVolumes,0.0001,0,
0,FinalizeUpdateRendererBoundingVolumes,0.0001,0,
0,ParticleSystem.WaitForPreviousRenderingToFinish,0.0001,0,
0,PreLateUpdate.ScriptRunBehaviourLateUpdate,0.0007,0,
0,LateBehaviourUpdate,0.0002,0,
0,PreLateUpdate.ConstraintManagerUpdate,0.0008,0,
0,ConstraintManager::Update,0.0003,0,
0,ConstraintManager::Update::JobSetup,0.0001,0,
0,PostLateUpdate.PlayerSendFrameStarted,0.0017,0,
0,FrameEvents.XRBeginFrame,0.0005,0,
0,FrameEvents.NewInputBeforeRenderUpdate,0.0001,0,
0,FrameEvents.OnBeforeRenderCallback,0.0009,0,
0,Application.InvokeOnBeforeRender(),0.0005,0,
0,PostLateUpdate.DirectorLateUpdate,0.0002,0,
0,Director.PrepareFrame,0,0,
0,Director.ProcessFrame,0,0,
0,PostLateUpdate.ScriptRunDelayedDynamicFrameRate,0.0001,0,
0,CoroutinesDelayedCalls,0.0001,0,
